Ward name,Old code,New code,Population,Children_0-15 ,Children_0-15 %,Area - Square,Population_density, children_obese%, children_obese_year6,Employment_rate ,House_Price,Household_income,no_qualifications%,Crime_rate %,open_space% ,Cars_per_household 
Ealing,00AJGE,E05000172,14150,3150,22.4,2.3,6152.2,14.0,23.4,61.0,265000.0,29350.0,23.5,54.0,47.3,1.0
Ealing,00AJGF,E05000173,15550,2300,14.6,1.9,7868.4,6.2,15.1,75.1,459970.0,45540.0,7.3,145.7,6.1,0.8
Ealing,00AJGG,E05000174,14200,2250,15.7,2.1,6809.5,9.9,21.0,74.6,536000.0,43600.0,10.8,68.9,22.2,0.9
Ealing,00AJGH,E05000175,19800,3950,19.8,4.3,4523.3,11.1,26.1,68.3,390500.0,32930.0,15.0,103.7,19.6,0.7
Ealing,00AJGJ,E05000176,15100,3150,21.0,2.0,7450.0,11.0,22.6,73.1,408750.0,38970.0,15.1,77.5,34.2,0.8
Ealing,00AJGK,E05000177,17750,4400,24.7,2.5,7120.0,13.7,23.6,66.4,249000.0,30500.0,21.9,81.2,26.2,0.9
Ealing,00AJGL,E05000178,14500,3100,21.2,3.4,4264.7,9.1,24.5,72.6,307000.0,35420.0,17.8,74.8,22.6,1.1
Ealing,00AJGM,E05000179,15750,3000,19.1,3.3,4787.9,7.1,18.4,71.9,519000.0,44760.0,9.2,60.4,26.7,1.0
Ealing,00AJGN,E05000180,14300,3250,22.5,2.2,6522.7,11.4,18.6,70.6,386250.0,36220.0,18.2,44.2,36.1,0.9
Ealing,00AJGP,E05000181,14100,2750,19.7,1.5,9433.3,12.9,23.6,66.6,285000.0,32520.0,19.8,46.2,19.4,1.3
Ealing,00AJGQ,E05000182,13700,2700,19.6,1.5,9133.3,5.3,13.1,78.6,615000.0,48480.0,8.7,44.5,25.6,0.9
Ealing,00AJGR,E05000183,14900,3050,20.5,3.2,4656.3,8.8,24.8,72.3,345000.0,36480.0,16.9,51.8,53.3,1.2
Ealing,00AJGS,E05000184,15350,3600,23.4,2.8,5482.1,12.1,24.9,67.3,300000.0,31950.0,21.5,63.3,34.5,0.9
Ealing,00AJGT,E05000185,15200,3950,26.0,3.5,4371.4,14.1,21.9,61.9,226111.0,28550.0,25.1,67.5,56.3,0.9
Ealing,00AJGU,E05000186,14200,2950,20.8,3.8,3750.0,12.3,23.1,57.3,257500.0,29020.0,21.8,91.1,54.5,1.1
Ealing,00AJGW,E05000187,15450,3200,20.6,3.4,4573.5,11.6,24.4,71.4,367500.0,36040.0,17.4,73.3,38.3,1.1
Ealing,00AJGX,E05000188,16200,3350,20.6,1.7,9205.9,11.6,26.9,68.1,440000.0,34300.0,16.2,88.7,17.5,0.7
Ealing,00AJGY,E05000189,16200,3700,22.7,1.6,9343.8,14.8,23.3,59.1,250000.0,27930.0,23.8,107.9,14.1,0.9
Ealing,00AJGZ,E05000190,15200,3600,23.8,1.6,9406.3,14.3,24.7,59.7,243000.0,27150.0,23.6,83.9,16.3,0.9
Ealing,00AJHA,E05000191,13600,2500,18.6,1.4,9714.3,7.4,18.0,77.6,780000.0,50170.0,9.0,64.5,14.3,0.8
Ealing,00AJHB,E05000192,13500,2600,19.1,1.5,9033.3,7.8,18.5,77.3,612500.0,46240.0,10.2,73.8,20.1,0.8
Enfield,00AKGL,E05000193,14550,2650,18.2,1.5,9733.3,9.3,21.1,71.9,319995.0,36300.0,16.7,50.8,15.3,0.8
Enfield,00AKGM,E05000194,14150,2500,17.6,2.5,5720.0,10.8,22.4,73.0,360200.0,41800.0,20.4,53.9,29.6,1.3
Enfield,00AKGN,E05000195,14000,3150,22.3,16.9,834.3,12.0,24.4,69.5,324000.0,36350.0,22.4,55.8,81.5,1.1
Enfield,00AKGP,E05000196,14100,2250,16.1,10.4,1370.2,9.0,20.6,66.9,472000.0,43570.0,19.0,46.4,68.8,1.3
Enfield,00AKGQ,E05000197,18350,4950,27.1,3.1,5951.6,17.6,30.1,53.8,210000.0,26010.0,30.5,117.7,33.2,0.6
Enfield,00AKGR,E05000198,16350,4050,24.9,4.6,3576.1,14.1,27.0,60.1,250000.0,29450.0,30.1,82.4,40.6,1.0
