Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,% All Children aged 0-15 - 2015,Area - Square Kilometres,Population density (persons per sq km) - 2013,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (? - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,Crime rate - 2014/15,% area that is open space - 2014,Cars per household - 2011
Merton - Village,00BAGQ,E05000472,8750,1650,18.9,6.2,1411.3,,,3730,71.3,1530000.0,133,62200.0,3670,36.0,15.2,15.3,33.5,68.7,5.6,23.0,0.5,24.7,74.7,2.3,2.6,3.5,0.5,0.8,1.8,50.0,626.0,0.0,388.7,0.6,6.8,52.2,62.2,1.4
Merton - West Barnes,00BAGR,E05000473,10200,2150,20.9,2.0,5075.0,5.5,18.0,4990,76.5,475000.0,139,44170.0,3711,4.0,25.8,51.1,19.1,76.3,5.2,16.8,1.0,90.4,8.5,5.3,4.4,2.0,0.9,6.3,2.7,38.5,619.0,0.0,363.4,0.7,13.9,49.6,32.4,1.1
Merton - Wimbledon Park,00BAGS,E05000474,11500,2700,23.6,2.3,5021.7,4.2,13.3,6198,78.4,732500.0,180,50730.0,4419,5.3,14.8,40.6,39.0,60.7,8.3,27.8,5.3,64.9,29.8,5.3,4.5,1.7,1.1,6.5,2.7,41.7,605.0,0.0,340.5,0.5,7.8,42.2,28.5,1.0
Newham - Beckton,00BBGB,E05000475,16700,3650,22.0,6.3,2539.7,13.0,21.4,6682,60.3,233500.0,165,34100.0,5468,8.2,19.9,31.7,40.1,28.9,36.5,31.0,23.8,74.2,2.1,17.4,17.1,5.6,3.0,19.6,7.9,41.8,72.0,100.0,305.8,2.0,19.2,125.2,30.9,0.7
Newham - Boleyn,00BBGC,E05000476,16350,4050,24.9,0.9,18055.6,13.0,29.1,6291,58.2,250000.0,124,31630.0,4968,7.9,9.8,47.4,34.8,40.9,25.8,30.9,35.6,64.4,0.0,17.5,14.2,4.3,3.3,15.9,8.9,57.2,51.0,100.0,325.2,1.5,22.4,69.8,6.1,0.6
Newham - Canning Town North,00BBGD,E05000477,16650,3550,21.4,2.5,6300.0,15.0,29.5,6103,59.5,249000.0,123,28910.0,5569,5.1,10.6,28.0,56.2,23.3,49.3,25.1,43.7,56.3,0.0,25.8,20.1,6.6,5.0,22.2,9.8,52.4,3.0,100.0,306.1,1.9,25.7,93.9,21.6,0.5
Newham - Canning Town South,00BBGE,E05000478,20350,4050,19.8,1.8,10166.7,14.3,27.8,7403,64.4,280000.0,291,32870.0,6569,3.7,7.0,20.0,69.2,19.8,36.0,39.9,35.3,59.8,4.9,23.2,15.7,4.0,3.1,24.4,8.1,50.3,6.0,100.0,299.0,1.8,22.6,64.8,26.6,0.5
Newham - Custom House,00BBGF,E05000479,14850,3500,23.5,2.1,6738.1,12.2,26.5,5839,62.8,250000.0,102,31840.0,4909,9.2,16.9,35.7,38.1,30.3,41.4,24.4,32.3,67.7,0.0,22.9,19.5,6.6,3.3,21.7,8.9,44.8,18.0,100.0,299.2,1.7,25.3,108.1,30.6,0.7
Newham - East Ham Central,00BBGG,E05000480,16200,3650,22.4,1.0,16200.0,13.4,26.1,6503,58.0,250000.0,91,32380.0,4717,8.6,9.8,49.5,32.0,43.0,15.7,39.7,34.2,65.8,0.0,15.8,12.1,4.1,2.8,12.4,6.9,53.7,61.0,100.0,310.6,1.5,19.3,111.8,10.8,0.6
Newham - East Ham North,00BBGH,E05000481,14250,3050,21.5,0.9,15722.2,10.7,24.9,5482,56.3,249995.0,53,32340.0,3711,8.7,10.9,48.1,32.3,46.4,17.6,34.1,31.8,67.9,0.3,17.1,10.3,3.8,2.3,15.6,7.1,51.1,57.0,100.0,323.2,1.5,19.9,54.7,12.4,0.7
Newham - East Ham South,00BBGJ,E05000482,16250,4250,26.3,1.8,8861.1,10.4,26.5,5952,59.0,240000.0,153,31430.0,5096,8.0,12.1,44.5,35.5,42.0,31.1,25.2,31.4,68.6,0.0,19.4,17.0,5.4,3.2,19.0,10.3,48.6,63.0,100.0,311.5,1.6,24.3,67.1,23.5,0.7
Newham - Forest Gate North,00BBGK,E05000483,16550,3500,21.2,1.2,13750.0,16.2,24.3,7545,64.7,313000.0,162,34270.0,5840,5.5,11.2,38.1,45.1,35.5,28.9,32.0,36.7,63.3,0.0,16.1,12.7,4.5,3.4,17.0,6.9,42.9,117.0,100.0,330.6,1.2,17.8,64.7,13.8,0.6
Newham - Forest Gate South,00BBGL,E05000484,18150,3650,20.2,1.2,14875.0,10.7,27.7,7985,62.1,263900.0,180,34550.0,5898,5.9,11.3,24.9,57.8,29.6,26.4,40.5,46.0,52.9,1.2,17.7,13.7,4.7,3.7,17.0,6.5,45.3,44.0,100.0,315.9,1.2,17.6,87.9,2.2,0.6
Newham - Green Street East,00BBGM,E05000485,16250,3650,22.3,0.7,23071.4,9.5,25.8,6341,55.4,260000.0,74,31570.0,4327,10.2,10.2,45.9,33.6,42.9,12.8,42.2,30.5,69.5,0.0,14.2,10.2,4.0,3.0,15.3,7.2,55.1,115.0,100.0,316.3,1.4,20.3,60.1,2.4,0.6
Newham - Green Street West,00BBGN,E05000486,15500,3350,21.5,0.8,19187.5,12.6,20.8,5873,54.3,250000.0,64,31080.0,4161,9.2,10.3,44.2,36.2,43.8,13.5,40.8,35.3,64.7,0.0,14.7,9.8,3.6,3.1,13.9,7.3,58.3,106.0,100.0,321.0,1.2,21.6,71.2,3.2,0.7
Newham - Little Ilford,00BBGP,E05000487,17100,4750,27.9,1.9,8921.1,12.8,26.5,5774,53.0,230000.0,133,29730.0,5180,7.3,8.8,36.8,47.0,32.9,30.1,34.4,40.8,59.2,0.0,20.6,18.6,5.5,4.1,16.7,11.7,56.0,26.0,100.0,314.7,1.0,23.2,75.6,48.6,0.6
Newham - Manor Park,00BBGQ,E05000488,15600,3750,24.0,1.3,11923.1,10.9,26.1,5936,55.8,249974.5,122,31580.0,4675,7.3,9.2,39.7,43.7,38.7,22.5,36.3,38.8,60.4,0.8,18.0,14.5,5.0,3.7,17.9,8.4,51.7,41.0,100.0,328.8,1.2,20.7,66.8,26.6,0.7
Newham - Plaistow North,00BBGR,E05000489,15800,3700,23.4,1.0,15700.0,13.0,23.7,6260,58.4,250000.0,96,30740.0,5206,5.7,10.5,31.7,52.1,28.8,41.7,25.6,41.4,58.6,0.0,19.3,16.5,6.1,4.4,18.4,9.2,55.0,77.0,100.0,318.9,1.1,23.6,61.9,10.7,0.5
Newham - Plaistow South,00BBGS,E05000490,16800,4700,27.9,1.4,11892.9,14.7,27.6,6921,61.8,250000.0,153,31750.0,5532,7.6,12.0,51.4,29.0,41.9,25.1,30.7,26.5,73.5,0.0,19.9,14.1,5.0,3.7,18.8,9.5,49.2,50.0,100.0,313.9,1.3,21.8,92.0,14.6,0.6
Newham - Royal Docks,00BBGT,E05000491,16550,3450,20.8,4.8,2843.8,12.4,31.4,5750,71.9,303500.0,282,38580.0,4482,2.2,5.5,16.8,75.4,25.5,30.8,41.3,27.1,68.7,4.2,18.4,12.4,2.9,2.1,18.6,7.3,46.7,86.0,100.0,305.5,1.5,14.1,71.5,56.8,0.7
Newham - Stratford and New Town,00BBGU,E05000492,26700,3700,13.9,4.2,5333.3,11.3,23.0,9665,68.9,280000.0,231,35840.0,7567,3.4,5.8,21.0,69.6,19.8,31.8,42.5,26.7,73.2,0.1,17.8,11.4,2.6,2.4,21.5,5.0,44.1,32.0,100.0,308.9,1.5,13.9,240.9,44.7,0.4
Newham - Wall End,00BBGW,E05000493,15150,3850,25.4,1.4,10750.0,10.2,24.3,5786,57.1,250000.0,98,32330.0,4222,10.4,13.8,49.4,26.5,44.3,17.7,36.2,29.4,70.6,0.0,14.7,13.5,4.8,2.8,13.4,8.7,52.9,118.0,100.0,302.5,1.8,19.6,46.6,33.9,0.7
Newham - West Ham,00BBGX,E05000494,16150,3300,20.3,1.3,12269.2,14.5,27.2,7002,63.1,273500.0,160,32310.0,5520,5.5,8.1,35.7,50.7,28.4,40.9,28.1,39.5,60.5,0.0,18.5,14.7,5.2,4.0,21.9,8.1,46.0,35.0,100.0,307.5,1.4,20.9,58.8,27.2,0.5
Redbridge - Aldborough,00BCFY,E05000495,15800,3500,22.3,8.6,1796.5,11.5,21.4,6327,67.4,315000.0,233,37310.0,5121,4.9,25.1,43.5,26.6,65.3,11.3,20.1,11.2,85.7,3.1,9.9,8.4,2.9,2.1,9.6,5.1,43.0,391.0,62.5,340.0,0.8,19.6,66.3,78.2,1.1
Redbridge - Barkingside,00BCFZ,E05000496,13150,2600,19.7,1.5,8766.7,7.6,21.5,5513,67.3,368750.0,120,39620.0,4427,4.2,31.5,40.2,24.1,74.7,4.7,19.3,11.8,74.2,14.0,7.8,5.3,2.2,2.0,6.4,3.5,41.4,502.0,25.0,357.2,0.9,17.2,50.5,1.3,1.2
Redbridge - Bridge,00BCGA,E05000497,11850,2350,20.0,2.6,4596.2,9.6,17.9,5683,73.2,340000.0,210,39320.0,4854,4.3,32.5,38.1,25.1,69.8,13.8,14.8,13.2,83.1,3.7,10.3,8.0,3.8,1.8,10.7,4.6,43.3,443.0,42.9,322.7,0.9,19.9,58.6,35.8,1.1
Redbridge - Chadwell,00BCGB,E05000498,14850,3750,25.4,1.5,9900.0,13.6,27.4,6343,68.4,250000.0,187,36700.0,5256,3.8,25.9,38.7,31.6,65.3,10.0,21.3,10.3,89.6,0.2,12.5,10.5,4.2,3.0,14.3,7.7,49.7,412.0,57.1,328.6,0.9,18.5,54.5,5.0,1.0
Redbridge - Church End,00BCGC,E05000499,11900,2300,19.5,1.5,7966.7,7.9,15.6,6381,79.3,340000.0,212,45410.0,5130,4.6,26.8,15.7,52.9,62.2,8.2,26.1,10.8,75.2,13.9,6.7,5.1,2.0,1.1,5.6,2.2,39.5,555.0,14.3,343.7,0.7,12.3,61.0,4.8,1.1
Redbridge - Clayhall,00BCGD,E05000500,13600,2650,19.5,2.5,5480.0,6.9,23.1,5723,67.8,390000.0,132,41450.0,4181,7.2,48.7,30.4,13.6,80.8,4.9,13.0,4.6,69.0,26.3,7.4,3.7,2.1,1.3,4.4,3.2,40.8,501.0,12.5,372.2,0.8,17.0,54.0,22.0,1.4
Redbridge - Clementswood,00BCGE,E05000501,16950,4750,27.9,1.3,12423.1,10.9,20.9,5459,56.5,235000.0,141,30230.0,4586,7.7,12.4,45.0,34.9,45.4,10.7,41.0,19.7,80.0,0.2,14.2,11.4,3.9,3.3,15.5,10.8,64.9,183.0,100.0,330.5,1.5,18.6,136.7,7.1,0.8
Redbridge - Cranbrook,00BCGF,E05000502,13300,2900,21.6,2.4,5562.5,12.2,18.7,5349,62.8,367500.0,102,38290.0,4121,3.5,27.8,39.7,28.9,68.3,5.3,25.0,14.8,70.8,14.4,9.1,6.1,3.2,1.9,9.2,4.9,46.8,433.0,50.0,355.1,1.4,17.6,73.0,39.9,1.2
Redbridge - Fairlop,00BCGG,E05000503,12900,2700,20.8,3.6,3611.1,11.3,26.5,5906,70.8,310000.0,218,37560.0,5094,7.4,28.8,37.7,26.2,69.7,9.7,18.4,9.9,77.9,12.2,10.5,7.8,3.6,1.9,11.4,5.4,48.7,403.0,57.1,324.3,1.0,21.2,57.7,48.4,1.2
Redbridge - Fullwell,00BCGH,E05000504,13150,2750,20.9,2.2,6045.5,9.8,26.3,5407,66.7,339497.5,168,35690.0,4882,7.6,43.7,21.9,26.8,68.8,14.9,14.5,15.1,76.8,8.1,11.9,9.3,3.9,2.2,13.3,6.2,49.1,379.0,50.0,333.0,0.9,23.4,55.4,23.7,1.2
Redbridge - Goodmayes,00BCGJ,E05000505,13400,3400,25.3,1.6,8437.5,13.0,22.5,5407,61.0,307000.0,117,33820.0,4242,6.3,22.1,42.2,29.3,57.3,8.5,32.1,17.8,81.3,0.9,13.6,10.7,4.4,3.0,16.0,8.2,52.7,301.0,100.0,318.7,1.2,18.1,70.3,27.7,1.0
Redbridge - Hainault,00BCGK,E05000506,13550,3050,22.7,5.6,2410.7,9.7,26.2,5304,65.1,249999.0,192,31520.0,5398,4.2,34.8,38.7,22.0,57.9,27.3,12.3,17.0,81.5,1.5,17.2,14.2,6.7,2.9,19.5,7.8,49.5,204.0,100.0,304.6,1.5,28.9,60.4,62.6,1.0
Redbridge - Loxford,00BCGL,E05000507,17700,5150,29.2,1.3,13423.1,11.8,25.7,5618,53.5,193000.0,179,28500.0,5223,8.9,12.2,42.8,36.0,41.1,22.8,32.7,16.3,83.7,0.0,14.9,16.6,4.8,4.1,20.4,15.3,66.8,195.0,100.0,339.7,1.6,20.1,86.2,16.8,0.7
Redbridge - Mayfield,00BCGM,E05000508,13950,3400,24.4,1.9,7394.7,12.6,23.1,5561,63.5,305000.0,134,35630.0,4346,10.8,26.6,47.3,15.3,71.7,7.6,18.8,6.1,83.4,10.5,10.6,7.7,3.7,2.3,11.3,6.2,42.9,399.0,85.7,338.6,1.3,20.5,52.5,14.3,1.2
Redbridge - Monkhams,00BCGN,E05000509,10650,1750,16.5,3.1,3451.6,7.5,12.3,4950,76.2,499747.5,198,48780.0,4430,28.4,27.3,11.9,32.1,81.4,4.4,12.5,4.7,43.4,51.9,5.7,3.2,1.5,0.8,4.2,1.2,26.3,586.0,14.3,369.8,0.5,15.0,48.1,31.0,1.4
Redbridge - Newbury,00BCGP,E05000510,17450,4350,24.8,2.1,8309.5,14.9,22.4,6931,63.2,315000.0,115,35550.0,5376,4.5,17.8,48.2,29.3,60.9,10.0,26.4,10.8,88.3,0.9,11.1,9.2,3.3,2.3,10.6,7.0,47.5,371.0,62.5,347.6,0.8,17.4,54.9,21.4,1.1
Redbridge - Roding,00BCGQ,E05000511,12550,2900,23.3,2.3,5434.8,8.9,21.3,5951,73.8,302500.0,254,41040.0,4808,2.8,31.1,27.2,38.9,64.1,15.9,18.7,17.8,76.7,5.5,9.1,8.0,3.0,1.9,10.3,4.4,39.4,397.0,42.9,330.1,1.1,15.9,50.3,35.7,1.1
Redbridge - Seven Kings,00BCGR,E05000512,16950,4200,24.9,2.1,7809.5,8.9,26.1,6066,60.1,294000.0,126,34480.0,4864,6.1,20.4,42.9,30.5,57.1,8.2,32.7,21.6,76.6,1.8,13.1,10.0,3.7,2.9,12.8,8.3,59.8,328.0,100.0,332.2,1.1,18.4,87.3,21.4,1.0
Redbridge - Snaresbrook,00BCGS,E05000513,12100,2150,17.8,2.0,6100.0,5.6,13.8,6214,78.1,361392.5,254,45160.0,5599,7.3,19.8,16.5,56.3,62.1,11.8,24.4,13.8,61.9,24.3,6.2,6.5,2.5,0.9,5.8,1.8,34.8,489.0,28.6,370.9,0.7,14.9,51.8,12.6,1.0
Redbridge - Valentines,00BCGT,E05000514,15050,3950,26.2,1.5,9900.0,9.7,24.6,5758,60.6,225000.0,119,34900.0,4935,4.7,13.1,31.6,50.5,46.9,8.9,42.2,39.4,57.3,3.4,13.7,13.0,4.8,3.1,11.9,7.5,53.8,255.0,87.5,341.0,1.2,16.6,104.5,13.3,0.8
Redbridge - Wanstead,00BCGU,E05000515,11700,2350,20.0,5.2,2278.8,9.5,18.6,5688,74.5,460000.0,141,46370.0,4702,6.2,31.6,30.4,31.6,71.5,14.3,13.1,9.4,60.9,29.8,6.8,5.9,2.7,1.3,6.5,2.5,31.0,473.0,12.5,343.9,1.0,15.2,71.8,66.5,1.1
Richmond upon Thames - Barnes,00BDFW,E05000516,10500,2100,19.9,3.0,3500.0,4.8,14.7,4839,72.3,1362500.0,144,55450.0,4566,6.6,27.1,22.9,43.4,57.5,17.9,22.7,7.1,40.2,52.7,5.8,6.5,2.6,1.0,6.3,3.1,42.1,582.0,14.3,327.8,1.1,9.1,55.7,54.4,1.0
Richmond upon Thames - East Sheen,00BDFX,E05000517,10500,2500,23.6,5.8,1810.3,5.0,7.6,5108,78.2,985000.0,189,56090.0,4294,11.5,27.2,31.3,29.9,70.2,7.6,21.0,1.2,38.5,60.4,3.7,3.9,1.7,0.8,2.3,1.9,33.9,614.0,0.0,396.2,0.9,6.6,48.7,76.6,1.1
Richmond upon Thames - Fulwell and Hampton Hill,00BDFY,E05000518,10300,2250,21.8,1.9,5421.1,5.6,9.0,5350,79.6,480000.0,204,48810.0,4365,10.0,24.9,31.4,33.6,71.6,8.0,19.4,4.2,70.9,24.9,6.0,5.6,2.6,1.3,5.5,1.6,25.1,599.0,0.0,373.7,0.5,10.8,44.7,32.7,1.1
"Richmond upon Thames - Ham, Petersham & Richmond Riverside",00BDFZ,E05000519,10550,2000,19.0,9.4,1122.3,5.0,13.2,4857,73.4,500000.0,178,44870.0,4614,10.4,15.3,30.5,43.8,59.7,18.5,19.0,3.9,71.3,24.8,9.0,7.7,3.4,1.7,10.4,3.7,42.3,459.0,16.7,337.5,1.0,14.1,56.0,81.9,1.0
Richmond upon Thames - Hampton,00BDGA,E05000520,10250,2050,20.1,6.9,1478.3,5.3,14.6,4999,77.2,599950.0,169,46750.0,4329,18.0,29.2,23.2,27.7,68.2,13.8,15.8,2.3,65.3,32.4,6.5,6.2,2.8,1.4,6.2,2.6,39.1,589.0,16.7,342.8,0.5,12.5,49.7,74.7,1.2
Richmond upon Thames - Hampton North,00BDGB,E05000521,9600,1850,19.4,1.9,5052.6,7.8,19.7,4482,73.5,335000.0,174,39440.0,4184,15.9,25.8,30.8,27.4,62.1,22.5,12.4,1.9,80.2,17.8,11.3,10.7,4.9,1.9,13.9,4.1,40.8,474.0,33.3,310.4,0.8,17.6,47.9,28.2,1.2
Richmond upon Thames - Hampton Wick,00BDGC,E05000522,10550,2150,20.3,2.7,3888.9,6.4,10.1,4950,73.1,455000.0,217,46760.0,4719,11.5,17.3,17.6,53.1,62.3,15.1,20.2,5.7,57.5,36.8,6.8,7.5,2.8,1.3,4.5,3.0,43.0,573.0,0.0,374.4,0.6,10.0,46.2,50.0,1.1
Richmond upon Thames - Heathfield,00BDGD,E05000523,10600,2100,19.9,1.9,5552.6,9.6,18.9,4752,70.8,380500.0,104,36950.0,3996,7.5,56.4,10.7,25.5,65.3,21.2,11.4,6.7,77.4,15.9,10.5,9.3,4.5,2.5,12.1,5.4,47.6,465.0,16.7,324.4,1.0,20.4,55.3,27.1,1.2
Richmond upon Thames - Kew,00BDGE,E05000524,11650,2450,21.0,3.6,3236.1,3.5,12.6,5807,77.1,630000.0,183,52130.0,5221,8.5,20.1,24.3,46.9,60.2,9.9,27.4,1.7,49.8,48.5,5.4,4.8,2.0,1.0,5.7,2.4,41.8,592.0,0.0,362.8,1.0,7.5,56.7,56.7,1.0
Richmond upon Thames - Mortlake and Barnes Common,00BDGF,E05000525,11100,2600,23.4,1.9,5815.8,5.3,11.3,5800,77.9,746500.0,226,50100.0,5104,3.5,11.0,35.7,49.8,58.1,16.0,24.3,1.6,60.0,38.5,6.4,8.2,3.2,1.5,8.0,2.9,39.1,539.0,14.3,341.8,0.9,9.8,64.1,39.1,0.9
Richmond upon Thames - North Richmond,00BDGG,E05000526,11050,2200,19.9,2.8,3910.7,4.7,11.2,5695,78.4,625625.0,168,50860.0,4943,3.1,22.7,32.3,41.9,56.6,16.9,24.5,2.4,61.8,35.8,6.3,7.8,2.8,1.3,5.0,2.4,36.0,554.0,14.3,359.6,0.9,10.2,58.6,54.1,0.9
Richmond upon Thames - St. Margarets & North Twickenham,00BDGH,E05000527,11800,2750,23.1,2.0,5775.0,4.0,8.9,6200,80.8,600000.0,225,52870.0,4744,9.4,23.7,25.8,40.6,68.3,4.0,25.3,2.1,61.8,36.1,4.3,3.4,1.4,0.8,2.9,2.0,32.9,615.0,0.0,369.3,0.6,6.6,58.3,23.6,1.1
Richmond upon Thames - South Richmond,00BDGJ,E05000528,11100,1900,17.1,2.7,4092.6,4.7,9.9,5715,76.0,655000.0,248,52690.0,5476,7.5,12.2,21.0,59.4,51.5,13.9,32.7,1.5,59.4,39.2,4.7,6.2,1.7,1.1,4.0,1.4,30.8,584.0,14.3,361.4,1.0,7.1,110.7,47.4,0.9
Richmond upon Thames - South Twickenham,00BDGK,E05000529,10100,2000,19.6,1.7,5970.6,5.8,8.7,5458,76.8,555500.0,196,51380.0,4153,6.3,24.3,35.8,32.8,70.5,6.6,21.3,3.7,60.7,35.5,4.6,4.0,1.9,0.9,3.3,1.3,31.8,617.0,0.0,375.6,0.4,6.4,35.3,26.7,1.1
Richmond upon Thames - Teddington,00BDGL,E05000530,10550,2050,19.3,4.3,2453.5,7.4,5.9,5564,79.9,499950.0,190,50600.0,4792,7.2,20.5,26.3,46.1,66.3,8.5,23.5,3.3,61.7,34.9,5.2,5.0,2.2,1.0,4.3,1.2,25.8,618.0,0.0,378.2,0.5,7.7,46.4,64.0,1.1
Richmond upon Thames - Twickenham Riverside,00BDGM,E05000531,10650,2000,19.0,2.0,5325.0,3.2,7.6,5916,80.7,458725.0,212,51350.0,5057,4.6,14.0,20.6,60.2,57.5,6.2,34.3,5.1,60.2,34.7,3.9,4.1,1.6,0.9,3.1,1.5,38.2,601.0,0.0,366.1,0.8,6.2,66.7,37.8,0.9
Richmond upon Thames - West Twickenham,00BDGN,E05000532,10750,2400,22.5,2.5,4280.0,5.3,10.8,5568,79.5,450000.0,217,45040.0,4366,3.4,30.3,41.2,25.1,71.7,11.5,15.3,1.1,88.9,10.0,6.4,6.2,2.7,1.1,6.5,2.5,27.7,569.0,14.3,333.9,0.6,13.4,55.2,45.6,1.1
Richmond upon Thames - Whitton,00BDGP,E05000533,10050,1900,19.1,1.6,6250.0,9.3,14.5,4802,76.5,420000.0,156,42230.0,3904,8.1,46.0,23.7,22.3,73.7,9.8,14.7,4.1,85.4,10.5,7.0,5.5,2.3,1.1,7.4,2.4,35.9,565.0,16.7,341.0,0.9,17.0,49.6,21.2,1.2
Southwark - Brunswick Park,00BEGC,E05000534,13600,2700,19.8,0.9,14833.3,11.9,27.4,6446,66.8,346500.0,162,36310.0,5365,1.8,4.8,19.3,74.1,30.1,46.6,20.5,40.8,55.4,3.8,14.1,16.3,5.0,4.0,22.5,6.0,41.3,201.0,100.0,315.9,1.3,15.2,104.8,7.0,0.5
Southwark - Camberwell Green,00BEGD,E05000535,15950,3400,21.3,1.0,15450.0,16.3,31.7,6937,64.6,310000.0,113,31840.0,6264,1.1,2.3,6.9,89.6,15.4,63.5,18.5,55.7,42.9,1.4,16.2,20.9,6.0,4.6,23.5,7.0,38.1,133.0,100.0,304.4,1.1,19.3,111.2,1.6,0.4
Southwark - Cathedrals,00BEGE,E05000536,17250,1700,9.9,1.8,9027.8,11.4,22.8,7697,62.9,580000.0,201,40430.0,6528,1.0,1.9,8.3,88.9,24.0,42.8,28.7,32.3,50.4,17.3,12.5,13.3,4.6,3.5,25.6,4.0,43.5,250.0,100.0,312.8,1.5,12.7,184.9,15.7,0.4
Southwark - Chaucer,00BEGF,E05000537,16200,2300,14.3,0.8,19750.0,12.8,23.3,8056,66.4,442000.0,187,37780.0,6439,0.5,0.9,3.0,95.6,21.4,43.3,29.7,40.3,50.7,9.0,10.1,12.6,3.3,3.3,24.3,5.5,46.0,280.0,88.9,318.3,1.1,11.3,114.4,5.6,0.4
Southwark - College,00BEGG,E05000538,11900,2450,20.6,3.2,3687.5,14.1,24.7,5705,71.1,350000.0,205,42600.0,5157,10.0,10.7,12.7,66.6,49.5,27.2,20.6,32.6,50.2,17.2,12.2,11.9,4.9,2.9,16.1,6.0,48.9,297.0,85.7,324.0,1.0,13.6,73.3,43.7,0.8
Southwark - East Dulwich,00BEGH,E05000539,12400,2500,20.0,1.0,12250.0,5.9,19.3,7196,79.2,572500.0,262,48670.0,5503,2.2,13.3,35.5,48.9,52.3,20.3,25.8,25.5,71.2,3.3,8.8,7.9,3.9,1.9,10.4,2.6,38.1,390.0,85.7,333.7,1.1,12.3,60.3,0.7,0.7
Southwark - East Walworth,00BEGJ,E05000540,13850,2450,17.8,1.1,11545.5,16.4,35.0,5291,62.5,315000.0,98,31010.0,4807,1.6,3.2,12.2,82.9,15.7,53.9,27.1,48.4,50.1,1.5,16.2,17.0,5.0,4.1,26.5,7.4,42.6,82.0,100.0,319.5,1.4,20.8,159.3,24.1,0.4
Southwark - Faraday,00BEGK,E05000541,13050,3000,23.0,0.9,14333.3,19.0,30.2,5581,62.3,315000.0,83,30760.0,5097,0.8,1.8,8.4,89.1,13.6,68.4,16.7,61.2,38.3,0.5,13.9,19.3,5.0,4.9,24.0,8.8,44.3,148.0,100.0,319.9,1.2,21.8,97.4,30.0,0.4
Southwark - Grange,00BEGL,E05000542,17600,2500,14.1,1.2,13750.0,14.3,27.1,8428,69.1,500000.0,320,38500.0,7442,0.7,1.7,6.6,90.8,21.9,45.0,29.8,37.7,54.2,8.1,13.1,14.8,4.7,3.1,30.8,5.4,48.9,210.0,87.5,322.1,1.4,15.7,106.2,4.5,0.4
Southwark - Livesey,00BEGM,E05000543,15000,3450,22.9,1.4,10357.1,15.0,31.6,5742,60.3,289995.0,101,28880.0,5612,2.5,4.7,15.2,77.3,15.7,66.9,14.5,46.9,53.1,0.0,19.8,22.2,6.5,5.3,26.1,9.8,46.8,81.0,100.0,314.3,1.3,23.8,98.2,4.5,0.4
Southwark - Newington,00BEGN,E05000544,15500,2600,16.9,0.8,18562.5,13.7,26.6,6957,66.3,380000.0,141,34190.0,6481,0.9,2.8,12.9,83.3,21.9,54.2,21.3,46.3,51.2,2.5,15.6,18.8,5.6,4.2,26.5,7.1,45.0,167.0,100.0,320.0,1.3,19.4,110.4,3.7,0.4
Southwark - Nunhead,00BEGP,E05000545,13850,2850,20.7,1.3,10538.5,14.5,24.8,6328,65.0,356250.0,171,33540.0,5748,3.2,7.1,30.9,58.6,30.8,47.4,18.9,43.3,56.2,0.5,22.0,20.2,8.0,4.8,26.0,7.2,45.1,93.0,100.0,325.3,1.0,21.1,68.7,20.1,0.5
Southwark - Peckham,00BEGQ,E05000546,15350,3650,23.7,0.9,16666.7,15.9,30.1,6258,61.2,285000.0,147,30030.0,5536,2.6,6.7,18.0,72.6,18.8,59.4,17.4,45.9,53.9,0.2,19.6,20.7,6.1,5.6,25.3,10.3,46.7,125.0,100.0,321.0,1.0,19.6,95.7,7.0,0.5
Southwark - Peckham Rye,00BEGR,E05000547,13550,2950,21.7,2.3,5847.8,9.2,19.7,7263,74.9,421000.0,241,42820.0,5835,2.3,13.6,23.3,60.7,46.7,25.3,25.6,31.5,65.3,3.1,12.4,11.6,4.6,2.8,17.4,5.2,43.8,307.0,85.7,330.4,0.8,13.8,56.5,45.7,0.7
Southwark - Riverside,00BEGS,E05000548,16600,2250,13.6,1.3,11923.1,9.8,24.1,8745,74.9,585000.0,299,43110.0,7585,0.5,1.2,5.2,92.7,28.7,34.3,32.3,29.9,44.7,25.4,10.4,11.3,3.2,2.0,25.3,4.1,52.0,285.0,71.4,298.5,1.6,13.5,101.9,23.2,0.5
